Date,Open,High,Low,Close,Adj Close,Volume,RSI,SMA_50,EMA_50,SMA_20,UpperBand,LowerBand,Tomorrow,Target,TargetClass
1989-01-02,0.14616699516773224,0.14616699516773224,0.14616699516773224,0.14616699516773224,-71434.75,0,5.879848462069942,-65595.695546875,-66124.51247799995,-66261.4787109375,-59193.8460691973,-73329.1113526777,-71434.75,0.0,0
1989-01-03,0.14616699516773224,0.14616699516773224,0.14616699516773224,0.14616699516773224,-71434.75,0,6.6638224721774275,-65704.406171875,-66332.75708670584,-66746.7775390625,-59656.735334658224,-73836.81974346678,-73570.0,-2135.25,0
1989-01-04,0.15053600072860718,0.15053600072860718,0.15053600072860718,0.15053600072860718,-73570.0,0,5.553300873363259,-65805.346640625,-66616.570534286,-67329.1373046875,-59998.17757097036,-74660.09703840464,-74346.546875,-776.546875,0
1989-01-05,0.15212500095367432,0.15212500095367432,0.15212500095367432,0.15212500095367432,-74346.546875,0,6.815211057864257,-65929.579296875,-66919.70686137283,-67960.0259765625,-60487.991634547776,-75432.06031857722,-74152.5390625,194.0078125,1
1989-01-06,0.15172800421714783,0.15172800421714783,0.15172800421714783,0.15172800421714783,-74152.5390625,0,2.379647321950481,-66088.755546875,-67203.3473398484,-68600.615625,-61323.77547880627,-75877.45577119375,-75899.2265625,-1746.6875,0
1989-01-09,0.1553020030260086,0.1553020030260086,0.1553020030260086,0.1553020030260086,-75899.2265625,0,2.3243276129146992,-66282.865546875,-67544.36221132494,-69309.13828125,-62090.283853737645,-76527.99270876234,-76093.7265625,-194.5,0
1989-01-10,0.15569999814033508,0.15569999814033508,0.15569999814033508,0.15569999814033508,-76093.7265625,0,2.271398923068058,-66480.865546875,-67879.63140156711,-69978.8564453125,-62857.31912419079,-77100.39376643421,-75705.1953125,388.53125,1
1989-01-11,0.15490500628948212,0.15490500628948212,0.15490500628948212,0.15490500628948212,-75705.1953125,0,6.820214873583866,-66686.62640625,-68186.51626081938,-70570.9158203125,-63623.121129291394,-77518.7105113336,-76869.8125,-1164.6171875,0
1989-01-12,0.15728799998760223,0.15728799998760223,0.15728799998760223,0.15728799998760223,-76869.8125,0,6.001859356952264,-66915.679609375,-68527.03768196372,-71201.781640625,-64379.44787645321,-78024.1154047968,-79587.578125,-2717.765625,0
1989-01-13,0.16284899413585663,0.16284899413585663,0.16284899413585663,0.16284899413585663,-79587.578125,0,4.6889178293325715,-67199.088125,-68960.78436600436,-71832.66875,-64355.869859973944,-79309.46764002605,-79975.6328125,-388.0546875,0
