Date,Open,High,Low,Close,Adj Close,Volume,RSI,SMA_50,EMA_50,SMA_20,UpperBand,LowerBand,Tomorrow,Target
1998-02-04,24.5625,24.5625,24.375,24.375,8.60215950012207,29200,42.85714285714286,23.9375,24.048588647166383,24.465625,24.91990834248923,24.01134165751077,24.5,1
1998-02-05,24.375,24.625,24.375,24.5,8.646279335021973,10900,50.0,23.9675,24.06629105315986,24.459375,24.907828116131945,24.010921883868058,24.5,1
1998-02-06,24.5,24.5,24.125,24.5,8.646279335021973,129200,50.0,24.0025,24.08329924715359,24.45625,24.902543212562076,24.009956787437925,24.3125,0
1998-02-09,24.1875,24.3125,23.9375,24.3125,8.580105781555176,101100,43.90243902439025,24.02875,24.092287511971097,24.453125,24.902677043120388,24.003572956879612,24.625,1
1998-02-10,24.375,24.625,24.3125,24.625,8.69039249420166,35000,47.72727272727273,24.06625,24.11317819777615,24.4625,24.918454753064527,24.00654524693547,24.625,1
1998-02-11,24.625,24.625,24.4375,24.625,8.69039249420166,40400,48.83720930232558,24.09875,24.133249641000614,24.465625,24.925307026828875,24.005942973171123,24.5,0
1998-02-12,24.5,24.625,24.3125,24.5,8.646279335021973,34500,51.21951219512194,24.1275,24.1476320080202,24.453125,24.893435521408684,24.012814478591316,24.5,1
1998-02-13,24.5625,24.625,24.375,24.5,8.646279335021973,73100,58.333333333333336,24.1575,24.16145036064686,24.453125,24.893435521408684,24.012814478591316,24.8125,1
1998-02-17,24.625,24.8125,24.5,24.8125,8.756564140319824,110500,61.53846153846154,24.19375,24.186981719052866,24.46875,24.93733549745066,24.00016450254934,24.125,0
1998-02-18,24.6875,24.6875,23.875,24.125,8.513938903808594,85500,52.17391304347826,24.21625,24.184551063403735,24.44375,24.930245253398198,23.957254746601805,24.0,0
1998-02-19,24.25,24.25,24.0,24.0,8.469820022583008,7900,50.0,24.235,24.177313766799667,24.40625,24.90871104850345,23.90378895149655,24.1875,1
1998-02-20,24.0,24.375,24.0,24.1875,8.535990715026855,82700,44.186046511627914,24.255,24.17771322692517,24.38125,24.87446048138436,23.888039518615642,24.0625,0
1998-02-23,24.125,24.25,24.0,24.0625,8.4918794631958,26300,36.58536585365853,24.2725,24.1731950611634,24.3625,24.874847538298003,23.850152461702,23.875,0
1998-02-24,24.0625,24.1875,23.875,23.875,8.42570972442627,8700,37.5,24.28875,24.16150113719621,24.35,24.897722557505187,23.802277442494816,23.75,0
