Date,Open,High,Low,Close,Adj Close,Volume,RSI,SMA_50,EMA_50,SMA_20,UpperBand,LowerBand,Tomorrow,TargetClass
2005-09-22,1837.0,1864.0,1827.0,1853.0,726.0330200195312,6793732,61.05782913085549,701.5134643554687,705.1874508669176,704.600717163086,730.7298788192312,678.4715555069407,717.4130249023438,0
2005-09-23,1846.0,1853.0,1824.0,1831.0,717.4130249023438,3565662,54.01795183311902,701.6091979980469,705.6668851428167,705.9133026123047,731.8365183184496,679.9900869061598,717.0213623046875,0
2005-09-26,1823.0,1845.0,1809.0,1830.0,717.0213623046875,8021057,56.01867010144223,701.739814453125,706.1121587570077,706.0308471679688,732.1418931820306,679.919801153907,718.5888061523438,1
2005-09-27,1853.0,1865.0,1834.0,1834.0,718.5888061523438,8428912,65.10444302731436,701.9406213378907,706.6014390470209,707.1475372314453,733.4081030098807,680.8869714530099,728.3839111328125,1
2005-09-28,1842.0,1860.0,1834.0,1859.0,728.3839111328125,6126122,77.72052508894615,702.7878149414063,707.4556536386207,708.1074829101562,736.0325128598711,680.1824529604414,733.4776611328125,1
2005-09-29,1864.0,1884.0,1860.0,1872.0,733.4776611328125,5122774,77.72056105392129,703.8417395019532,708.4761245207459,709.0674346923828,739.1242841889618,679.0105851958037,734.653076171875,1
2005-09-30,1875.0,1881.0,1862.0,1875.0,734.653076171875,6971895,79.68779791243252,704.9580078125,709.5026716443197,710.3996154785157,742.5480510968817,678.2511798601496,734.653076171875,0
2005-10-03,1872.0,1881.0,1864.0,1875.0,734.653076171875,3629396,85.000212028874,706.0043701171875,710.4889620179493,711.6142578125,745.5428229231536,677.6856927018464,718.5888061523438,0
2005-10-04,1869.0,1871.0,1828.0,1834.0,718.5888061523438,5437524,68.66385647339888,706.8148876953124,710.8066029643961,712.2019989013672,746.1891026115411,678.2148951911934,708.7930908203125,0
2005-10-05,1809.0,1821.0,1807.0,1809.0,708.7930908203125,6893925,51.56246196884163,707.5226953125,710.7276417038438,712.8484924316406,746.0088402681224,679.6881445951587,698.2141723632812,0
2005-10-06,1787.0,1791.0,1769.300048828125,1782.0,698.2141723632812,5431755,41.17653347342957,708.2208666992187,710.2369174159786,713.4362213134766,745.0057671749599,681.8666754519933,701.3487548828125,1
2005-10-07,1775.0,1804.0,1773.0,1790.0,701.3487548828125,4456713,36.84221745603851,708.6788171386719,709.888362022521,713.9259979248047,744.3492081257666,683.5027877238429,698.6060180664062,0
2005-10-10,1800.0,1805.0,1780.0,1783.0,698.6060180664062,4769656,35.897329384914144,708.8489025878906,709.4459171614969,714.3569976806641,743.5724580080341,685.1415373532941,698.2141723632812,0
2005-10-11,1785.0,1794.0,1774.0,1782.0,698.2141723632812,4697027,36.08249657736363,708.8480432128906,709.0054565811747,715.0034881591797,741.998004332513,688.0089719858464,689.593994140625,0
2005-10-12,1788.0,1788.0,1760.0,1760.0,689.593994140625,4337381,26.633147734575772,708.5345861816406,708.2442227599768,715.1406127929688,741.5546262564825,688.7265993294551,679.406982421875,0
2005-10-13,1761.0,1765.0,1724.0,1734.0,679.406982421875,5702434,26.108439402345528,708.0957507324218,707.1133505898551,713.7888488769531,744.495478392063,683.0822193618433,674.3134765625,0
